trip_id,from_stop_id,to_stop_id,distance_km
3JTmhQmnxSU9cPkJSaSlE-07:00:00,233,237,0.5404
3JTmhQmnxSU9cPkJSaSlE-07:00:00,237,235,0.5197999999999999
3JTmhQmnxSU9cPkJSaSlE-07:00:00,235,239,1.0317
3JTmhQmnxSU9cPkJSaSlE-07:00:00,239,245,0.42710000000000004
3JTmhQmnxSU9cPkJSaSlE-07:00:00,245,243,0.5841000000000001
3JTmhQmnxSU9cPkJSaSlE-07:00:00,243,241,1.0479
3JTmhQmnxSU9cPkJSaSlE-07:00:00,241,229,0.6613
3JTmhQmnxSU9cPkJSaSlE-07:00:00,229,225,0.3481
3JTmhQmnxSU9cPkJSaSlE-07:00:00,225,227,0.6194
3JTmhQmnxSU9cPkJSaSlE-07:00:00,227,409,1.1714
3JTmhQmnxSU9cPkJSaSlE-07:00:00,409,402,0.74
3RevHK5a3aJRhrnXG0U-Y-07:00:00,261,273,1.8444
3RevHK5a3aJRhrnXG0U-Y-07:00:00,273,295,1.1683
3RevHK5a3aJRhrnXG0U-Y-07:00:00,295,304,0.8733
3SynmEGmJSDoBYRTRgEkj-07:00:00,310,319,1.0909
3SynmEGmJSDoBYRTRgEkj-07:00:00,319,339,2.1368
3SynmEGmJSDoBYRTRgEkj-07:00:00,339,321,0.43939999999999996
3SynmEGmJSDoBYRTRgEkj-07:00:00,321,347,0.5464
3SynmEGmJSDoBYRTRgEkj-07:00:00,347,350,0.7327
3SynmEGmJSDoBYRTRgEkj-07:00:00,350,414,0.511
3SynmEGmJSDoBYRTRgEkj-07:00:00,414,410,1.3862
3SynmEGmJSDoBYRTRgEkj-07:00:00,410,200,1.1870999999999998
3SynmEGmJSDoBYRTRgEkj-07:00:00,200,201,0.432
3SynmEGmJSDoBYRTRgEkj-07:00:00,201,190,0.4692
3SynmEGmJSDoBYRTRgEkj-07:00:00,190,188,0.3827
3g4cs6y1Zst9EwOYH-YQE-07:00:00,2,3,0.4111
3g4cs6y1Zst9EwOYH-YQE-07:00:00,3,250,30.5556
3g4cs6y1Zst9EwOYH-YQE-07:00:00,250,252,0.2969
3g4cs6y1Zst9EwOYH-YQE-07:00:00,252,390,5.087899999999999
3g4cs6y1Zst9EwOYH-YQE-07:00:00,390,391,2.8773
3g4cs6y1Zst9EwOYH-YQE-07:00:00,391,396,1.7769000000000001
3g4cs6y1Zst9EwOYH-YQE-07:00:00,396,435,5.5149
3g4cs6y1Zst9EwOYH-YQE-07:00:00,435,399,4.3163
3g4cs6y1Zst9EwOYH-YQE-07:00:00,399,168,2.2463
3g4cs6y1Zst9EwOYH-YQE-07:00:00,168,428,2.7259
3wTFymMNfLvqoIaC8VkMX-07:00:00,258,217,2.203
40rOFL2qzN26P2ty7q_b9-07:00:00,277,265,1.3742
40rOFL2qzN26P2ty7q_b9-07:00:00,265,215,1.5037
40rOFL2qzN26P2ty7q_b9-07:00:00,215,218,2.1195999999999997
40rOFL2qzN26P2ty7q_b9-07:00:00,218,220,1.4105
40rOFL2qzN26P2ty7q_b9-07:00:00,220,231,0.8179
40rOFL2qzN26P2ty7q_b9-07:00:00,231,233,0.6058
40rOFL2qzN26P2ty7q_b9-07:00:00,233,237,0.5404
40rOFL2qzN26P2ty7q_b9-07:00:00,237,235,0.5197999999999999
40rOFL2qzN26P2ty7q_b9-07:00:00,235,239,1.0317
40rOFL2qzN26P2ty7q_b9-07:00:00,239,245,0.42710000000000004
