shape_id,distance_km
qZcHenAJ7pJVpkcbhNg9l_Shape,127.0102
q_FpxkrHACQ0njq87xh7H_Shape,8.2627
r6ovFR4tIxNGXdkL4UeVE_Shape,13.4803
r7hUDDmUQxs4nQXOpk7pC_Shape,136.7979
rz-CFcB9J3xy60VYWjZAn_Shape,12.8032
t2ZpJUKX5uFrXD9bfRgqq_Shape,140.423
t3fihouAmNU32d_e7msfe_Shape,118.8121
tL1NRyqKwJOCmUECmIQqO_Shape,5.118600000000001
tObSXctDA10XZJ6oW1EYp_Shape,11.7111
tXwMswYEHusmu2vLfRPR2_Shape,32.581
tl8ZQbvleCGCbWdgkRkZg_Shape,4.6233
uE28Zm5OTYg1GLECQDEL0_Shape,84.2375
uOo5ud2_KAT6G_nCjg9oe_Shape,110.52680000000001
uRBqBvtxqfFULY3Kyi78n_Shape,5.4236
udcnz_0kW2tOMy6xB2_Ng_Shape,42.1618
v4sHde8sXh63a1CWeshcp_Shape,8.274
v6Tq-fJZg1OTVvR_yhueB_Shape,18.3813
vDSOGaI-kcPGIccVzFiRw_Shape,74.63289999999999
vGWP0NAWQ2WwsR_DTpmn9_Shape,94.2475
vcRbpsi4jjFjRKF41t1UT_Shape,5.433
vt5LHnmnnLuQC-tEARuAL_Shape,3.4606
w6teBIa3rLtCothzEDZKi_Shape,4.2679
wE7GlW3Fb_HPAB66Hhxh1_Shape,10.558399999999999
wNQ0rq7CAxb57IWuH3MiT_Shape,7.021
wlRSKsJwTRTrfl4QBCwtY_Shape,7.0408
wyt-c9kVSmo-uyx4zLFYT_Shape,62.62
wzQQv79eeOAEsj4p6t-wx_Shape,121.2864
x4ViZBh3xZ7dXQ23JVcoJ_Shape,8.6153
xDj2dqi2X96UqHuyUcyqS_Shape,10.6081
xb8d2kdOwmERjQmCcjbyQ_Shape,16.5718
xxgi7P3OGoDShZ0IAQUyL_Shape,18.6598
yKUP1GAjkqmvJPLe6dDUV_Shape,5.3503
z8pSD1wGRKg4oVh4eC0Iw_Shape,6.7935
zZPK942_z42ZWwqb9a3ED_Shape,18.862
zZjzzNbMESUGofW2jqGDZ_Shape,5.8055
zivMUtHDofqSlzEUoK8F0_Shape,30.7513
znJ4UDxPXmPvAbkcg1zot_Shape,137.088
zu8jTrRbozlA63gSOD4cA_Shape,25.389
